loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
lotomania,127,30/06/2001,False,03,07,22,24,27,29,38,39,41,45,48,54,59,62,65,67,71,78,79,86,54,45,27,07,86,62,24,39,65,59,78,03,41,48,38,22,79,29,67,71
lotomania,128,04/07/2001,False,03,05,17,24,31,34,43,45,46,47,49,52,57,58,59,74,84,86,88,97,88,97,86,49,24,34,47,17,05,52,58,45,03,31,43,74,84,46,59,57
lotomania,129,07/07/2001,False,10,13,17,21,26,28,36,37,38,41,43,44,47,60,65,76,78,80,84,90,17,10,78,76,47,60,90,44,38,13,36,28,65,84,37,80,21,26,41,43
lotomania,130,11/07/2001,True,03,05,10,15,16,17,19,21,37,38,41,44,49,51,52,76,84,85,94,99,84,17,37,05,15,10,85,16,51,38,19,76,52,49,99,41,21,44,03,94
lotomania,131,14/07/2001,True,09,10,12,23,24,27,42,43,45,47,48,55,62,69,70,75,80,90,94,98,27,24,98,45,47,94,48,69,23,42,55,75,10,90,62,43,70,09,12,80
lotomania,132,18/07/2001,True,02,06,07,10,12,21,27,29,40,42,45,49,51,58,71,74,76,79,86,96,06,42,40,79,21,74,27,02,86,45,96,29,76,12,10,58,51,07,49,71
lotomania,133,21/07/2001,False,02,13,21,32,34,38,42,45,48,52,53,57,62,66,71,75,79,86,92,95,66,21,42,32,34,53,79,75,38,48,86,95,62,13,52,45,57,92,02,71
lotomania,134,25/07/2001,True,07,13,15,20,21,22,24,25,27,38,47,48,55,63,65,67,71,73,85,99,20,63,71,67,99,48,47,85,25,15,07,65,27,13,21,24,38,22,73,55
lotomania,135,28/07/2001,False,05,13,27,33,37,41,48,49,53,54,58,59,60,68,78,80,84,86,95,97,27,13,37,97,41,95,58,68,78,53,60,86,84,49,54,59,80,05,48,33
lotomania,136,01/08/2001,False,06,07,16,20,22,30,33,35,41,47,50,53,54,55,59,71,80,87,89,91,06,54,71,22,89,59,41,91,33,35,55,53,47,87,80,30,16,20,50,07
lotomania,137,04/08/2001,True,03,10,18,19,29,32,42,44,50,54,55,64,65,69,74,80,81,82,87,91,32,54,82,87,80,64,65,81,29,18,69,50,10,74,44,19,03,42,91,55
